Name,Type,MatchPlayed,InningsBatted,NotOuts,RunsScored,HighestInnScore,100s,50s,4s,6s,BattingAVG,BattingS/R,CatchesTaken,StumpingsMade,Ducks,R/O,InningsBowled,Overs,Maidens,RunsConceded,Wickets,Best,3s,5s,BowlingAVG,EconomyRate,S/R,Mtc
Abdul Samad,Batsman ,23,18,4,222,33 v DC,0,0,12,14,15.85,146.05,13,0,2,1,4,8,0,105,2,1/9 v PBKS,0,0,52.5,13.12,24,4
Abhijeet Tomar,Batsman ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abhinav Manohar,Batsman ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abhishek Sharma,All-Rounder ,22,20,6,241,46* v RCB,0,0,17,12,17.21,139.3,5,0,0,1,14,22,0,176,7,2/4 v MI,0,0,25.14,8,18.85,14
Adam Milne,Bowler ,9,6,2,23,15 v CSK,0,0,0,1,5.75,79.31,7,0,2,0,9,32,0,308,7,2/21 v CSK,0,0,44,9.62,27.42,9
Aiden Markram,Batsman ,6,6,1,146,42 v MI,0,0,12,4,29.2,122.68,3,0,0,0,2,4,0,23,0,0/5 v RCB,0,0,,5.75,,2
Ajinkya Rahane,Batsman ,151,141,16,3941,105* v DC,2,28,417,76,31.52,121.33,58,0,13,7,1,1,0,5,1,1/5 v PBKS,0,0,5,5,6,1
Akash Deep,Bowler ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alex Hales,Batsman ,6,6,0,148,45 v DC,0,0,13,6,24.66,125.42,2,0,,,,,,,,,,,,,,
Alzarri Joseph,Bowler ,3,2,2,15,15* v PBKS,0,0,2,0,,115.38,1,0,1,0,3,8.4,1,87,6,6/12 v SRH,0,1,14.5,10.03,8.66,3
Aman Khan,All-Rounder ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ambati Rayudu,Wicket-Keeper ,175,164,31,3916,100* v SRH,1,21,324,149,29.44,127.47,58,2,14,14,,,,,,,,,,,,
Andre Russell,All-Rounder ,84,70,12,1700,88* v CSK,0,9,119,143,29.31,178.57,25,0,3,5,76,210.1,0,1901,72,5/15 v MI,6,1,26.4,9.04,17.51,76
Aneeshwar Gautam,All-Rounder ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ankit Rajpoot,Bowler ,29,7,2,26,8 v SRH,0,0,2,1,5.2,63.41,4,0,0,1,29,88.1,1,814,24,5/14 v SRH,1,1,33.91,9.23,22.04,29
Anmolpreet Singh,Batsman ,1,1,0,16,16 v CSK,0,0,2,1,16,114.28,,,0,0,,,,,,,,,,,,
Anrich Nortje,Bowler ,24,5,4,7,3* v PBKS,0,0,0,0,7,116.66,5,0,2,0,24,91.2,1,699,34,3/33 v KKR,2,0,20.55,7.65,16.11,24
Ansh Patel,All-Rounder ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anuj Rawat,Wicket-Keeper ,2,1,0,0,0 v KKR,0,0,0,0,0,0,3,0,1,0,,,,,,,,,,,,
