Name,Type,MatchPlayed,InningsBatted,RunsScored,100s,50s,4s,6s,BattingAVG,BattingS/R,CatchesTaken,StumpingsMade,Ducks,R/O,InningsBowled,Overs,Maidens,RunsConceded,Wickets,3s,5s,BowlingAVG,EconomyRate,S/R,Mtc,Specialism,Base Price,Sold Price,C/U,Country
Abhijeet Tomar,Batsman ,,,,,,,,,,,,,,,,,,,,,,,,,BATSMAN,0.2,0.4,0,1
Abhinav Sadarangani,Batsman ,,,,,,,,,,,,,,,,,,,,,,,,,BATSMAN,0.2,2.6,0,1
Abhishek Sharma,All-Rounder ,22,20,241,0,0,17,12,17.21,139.3,5,0,0,1,14,22,0,176,7,0,0,25.14,8,18.85,14,ALL-ROUNDER,0.2,6.5,0,1
Adam Milne,Bowler ,9,6,23,0,0,0,1,5.75,79.31,7,0,2,0,9,32,0,308,7,0,0,44,9.62,27.42,9,BOWLER,1.5,1.9,1,0
Aiden Markram,Batsman ,6,6,146,0,0,12,4,29.2,122.68,3,0,0,0,2,4,0,23,0,0,0,,5.75,,2,BATSMAN,1,2.6,1,0
Ajinkya Rahane,Batsman ,151,141,3941,2,28,417,76,31.52,121.33,58,0,13,7,1,1,0,5,1,0,0,5,5,6,1,BATSMAN,1,1,1,1
Akash Deep,Bowler ,,,,,,,,,,,,,,,,,,,,,,,,,BOWLER,0.2,0.2,0,1
Alex Hales,Batsman ,6,6,148,0,0,13,6,24.66,125.42,2,0,,,,,,,,,,,,,,BATSMAN,1.5,1.5,1,0
Alzarri Joseph,Bowler ,3,2,15,0,0,2,0,,115.38,1,0,1,0,3,8.4,1,87,6,0,1,14.5,10.03,8.66,3,BOWLER,0.75,2.4,1,0
Aman Khan,All-Rounder ,,,,,,,,,,,,,,,,,,,,,,,,,ALL-ROUNDER,0.2,0.2,0,1
Ambati Rayudu,Wicket-Keeper ,175,164,3916,1,21,324,149,29.44,127.47,58,2,14,14,,,,,,,,,,,,WICKETKEEPER,2,6.75,1,1
Aneeshwar Gautam,All-Rounder ,,,,,,,,,,,,,,,,,,,,,,,,,ALL-ROUNDER,0.2,0.2,0,1
Ankit Rajpoot,Bowler ,29,7,26,0,0,2,1,5.2,63.41,4,0,0,1,29,88.1,1,814,24,1,1,33.91,9.23,22.04,29,,,,,
Anmolpreet Singh,Batsman ,1,1,16,0,0,2,1,16,114.28,,,0,0,,,,,,,,,,,,BATSMAN,0.2,0.2,0,1
Ansh Patel,All-Rounder ,,,,,,,,,,,,,,,,,,,,,,,,,ALL-ROUNDER,0.2,0.2,0,1
Anuj Rawat,Wicket-Keeper ,2,1,0,0,0,0,0,0,0,3,0,1,0,,,,,,,,,,,,WICKETKEEPER,0.2,3.4,0,1
Anukul Roy,All-Rounder ,1,0,,0,0,0,0,,0,,,0,0,1,2,0,11,1,0,0,11,5.5,12,1,ALL-ROUNDER,0.2,0.2,0,1
Anunay Singh,All-Rounder ,,,,,,,,,,,,,,,,,,,,,,,,,ALL-ROUNDER,0.2,0.2,0,1
Arjun Tendulkar,All-Rounder ,,,,,,,,,,,,,,,,,,,,,,,,,ALL-ROUNDER,0.2,0.3,0,1
Aryan Juyal,Wicket-Keeper ,,,,,,,,,,,,,,,,,,,,,,,,,WICKETKEEPER,0.2,0.2,0,1
Ashok Sharma,Bowler ,,,,,,,,,,,,,,,,,,,,,,,,,BOWLER,0.2,0.55,0,1
Ashwin Hebbar,Batsman ,,,,,,,,,,,,,,,,,,,,,,,,,BATSMAN,0.2,0.2,0,1
Atharva Taide,All-Rounder ,,,,,,,,,,,,,,,,,,,,,,,,,ALL-ROUNDER,0.2,0.2,0,1
Avesh Khan,Bowler ,25,2,9,0,0,2,0,9,150,5,0,0,1,25,91,0,749,29,4,0,25.82,8.23,18.82,25,BOWLER,0.2,10,0,1
Ayush Badoni,All-Rounder ,,,,,,,,,,,,,,,,,,,,,,,,,ALL-ROUNDER,0.2,0.2,0,1
B. Sai Sudharsan,All-Rounder ,,,,,,,,,,,,,,,,,,,,,,,,,ALL-ROUNDER,0.2,0.2,0,1
Baba Indrajith,Wicket-Keeper ,,,,,,,,,,,,,,,,,,,,,,,,,WICKETKEEPER,0.2,0.2,0,1
Baltej Singh,Bowler ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basil Thampi,Bowler ,20,8,32,0,0,1,1,32,91.42,4,0,2,0,20,70.5,0,694,17,1,0,40.82,9.79,25,20,BOWLER,0.3,0.3,0,1
Benny Howell,All-Rounder ,,,,,,,,,,,,,,,,,,,,,,,,,ALL-ROUNDER,0.4,0.4,0,0
Bhanuka Rajapaksa,Batsman ,,,,,,,,,,,,,,,,,,,,,,,,,BATSMAN,0.5,0.5,1,0
Bhuvneshwar Kumar,Bowler ,132,51,217,0,0,20,3,8.34,96.87,27,0,9,4,132,491.3,9,3588,142,9,1,25.26,7.3,20.76,132,BOWLER,2,4.2,1,1
C.Hari Nishaanth,Batsman ,,,,,,,,,,,,,,,,,,,,,,,,,BATSMAN,0.2,0.2,0,1
Chama Milind,Bowler ,,,,,,,,,,,,,,,,,,,,,,,,,BOWLER,0.2,0.25,0,1
Chamika Karunaratne,All-Rounder ,,,,,,,,,,,,,,,,,,,,,,,,,ALL-ROUNDER,0.5,0.5,1,0
Chetan Sakariya,Bowler ,14,6,16,0,0,2,0,3.2,64,4,0,2,1,14,52,1,426,14,2,0,30.42,8.19,22.28,14,BOWLER,0.5,4.2,1,1
Chris Jordan,All-Rounder ,24,9,64,0,0,3,3,9.14,112.28,9,0,2,2,24,76.3,0,698,25,2,0,27.92,9.12,18.36,24,ALL-ROUNDER,2,3.6,1,0
